*****************13/10/2016 08:31:04.177*****************
08:32:00.267 -> creada la cuadricula 614
08:32:00.324 -> creada la cuadricula 613
08:32:00.355 -> creada la cuadricula 612
08:32:00.393 -> creada la cuadricula 611
08:32:00.421 -> creada la cuadricula 610
08:32:00.449 -> creada la cuadricula 609
08:32:00.478 -> creada la cuadricula 608
08:32:00.512 -> creada la cuadricula 607
08:32:00.602 -> creada la cuadricula 606
08:32:00.652 -> creada la cuadricula 605
08:32:02.230 -> creada la cuadricula 604
08:32:02.286 -> creada la cuadricula 603
08:32:02.318 -> creada la cuadricula 602
08:32:02.412 -> creada la cuadricula 601
08:32:02.450 -> creada la cuadricula 600
08:32:02.482 -> creada la cuadricula 599
08:32:02.511 -> creada la cuadricula 598
08:32:02.543 -> creada la cuadricula 597
08:32:02.569 -> creada la cuadricula 596
08:32:02.600 -> creada la cuadricula 595
08:32:02.628 -> creada la cuadricula 594
08:32:02.655 -> creada la cuadricula 593
08:32:02.730 -> creada la cuadricula 592
08:32:02.761 -> creada la cuadricula 591
08:32:02.785 -> creada la cuadricula 590
08:32:02.813 -> creada la cuadricula 589
08:32:02.841 -> creada la cuadricula 588
08:32:02.872 -> creada la cuadricula 587
08:32:02.897 -> creada la cuadricula 586
08:32:03.031 -> creada la cuadricula 585
08:32:03.065 -> creada la cuadricula 584
08:32:03.089 -> creada la cuadricula 583
08:32:03.112 -> creada la cuadricula 582
08:32:03.153 -> creada la cuadricula 581
08:32:03.183 -> creada la cuadricula 580
08:32:03.211 -> creada la cuadricula 579
08:32:03.534 -> creada la cuadricula 578
08:32:03.555 -> creada la cuadricula 577
08:32:03.586 -> creada la cuadricula 576
08:32:03.609 -> creada la cuadricula 575
08:32:03.643 -> creada la cuadricula 574
08:32:03.670 -> creada la cuadricula 573
08:32:03.725 -> creada la cuadricula 572
08:32:03.758 -> creada la cuadricula 571
08:32:03.826 -> creada la cuadricula 570
08:32:03.861 -> creada la cuadricula 569
08:32:03.902 -> creada la cuadricula 568
08:32:03.953 -> creada la cuadricula 567
08:32:03.991 -> creada la cuadricula 566
08:32:04.033 -> creada la cuadricula 565
08:32:04.063 -> creada la cuadricula 564
08:32:04.098 -> creada la cuadricula 563
08:32:04.140 -> creada la cuadricula 562
08:32:04.177 -> creada la cuadricula 561
08:32:04.208 -> creada la cuadricula 560
08:32:04.251 -> creada la cuadricula 559
08:32:04.319 -> creada la cuadricula 558
08:32:04.372 -> creada la cuadricula 557
08:32:04.403 -> creada la cuadricula 556
08:32:04.481 -> creada la cuadricula 555
08:32:04.521 -> creada la cuadricula 554
08:32:04.634 -> creada la cuadricula 553
08:32:04.661 -> creada la cuadricula 552
08:32:04.702 -> creada la cuadricula 551
08:32:04.751 -> creada la cuadricula 550
08:32:04.815 -> creada la cuadricula 549
08:32:04.876 -> creada la cuadricula 548
08:32:04.924 -> creada la cuadricula 547
08:32:04.948 -> creada la cuadricula 546
08:32:04.972 -> creada la cuadricula 545
08:32:04.995 -> creada la cuadricula 544
08:32:05.017 -> creada la cuadricula 543
08:32:05.045 -> creada la cuadricula 542
08:32:05.087 -> creada la cuadricula 541
08:32:05.166 -> creada la cuadricula 540
08:32:05.191 -> creada la cuadricula 539
08:32:05.215 -> creada la cuadricula 538
08:32:05.240 -> creada la cuadricula 537
08:32:05.262 -> creada la cuadricula 536
08:32:05.292 -> creada la cuadricula 535
08:32:05.328 -> creada la cuadricula 534
08:32:05.370 -> creada la cuadricula 533
08:32:05.414 -> creada la cuadricula 532
08:32:05.450 -> creada la cuadricula 531
08:32:05.533 -> creada la cuadricula 530
08:32:05.564 -> creada la cuadricula 529
08:32:05.595 -> creada la cuadricula 528
08:32:05.625 -> creada la cuadricula 527
08:32:05.660 -> creada la cuadricula 526
08:32:05.723 -> creada la cuadricula 525
08:32:05.853 -> creada la cuadricula 524
08:32:05.876 -> creada la cuadricula 523
08:32:05.902 -> creada la cuadricula 522
08:32:05.960 -> creada la cuadricula 521
08:32:05.993 -> creada la cuadricula 520
08:32:06.028 -> creada la cuadricula 519
08:32:06.077 -> creada la cuadricula 518
08:32:06.118 -> creada la cuadricula 517
08:32:06.152 -> creada la cuadricula 516
08:32:06.193 -> creada la cuadricula 515
08:32:06.231 -> creada la cuadricula 514
08:32:06.272 -> creada la cuadricula 513
08:32:06.295 -> creada la cuadricula 512
08:32:06.328 -> creada la cuadricula 511
08:32:06.353 -> creada la cuadricula 510
08:32:06.381 -> creada la cuadricula 509
08:32:06.408 -> creada la cuadricula 508
08:32:06.477 -> creada la cuadricula 507
08:32:06.546 -> creada la cuadricula 506
08:32:06.603 -> creada la cuadricula 505
08:32:06.634 -> creada la cuadricula 504
08:32:06.668 -> creada la cuadricula 503
